Manitoba,Impaired operation causing bodily harm,48,70,67,59,53
Manitoba,Impaired operation (drugs) causing bodily harm,0,1,1,1,1
Manitoba,Impaired operation of motor vehicle vessel or aircraft ,2838,3448,3470,3736,3518
Manitoba,Impaired operation (drugs) vehicle vessel aircraft,15,40,60,68,70
Manitoba,Impaired operation failure to provide breath sample,108,91,109,100,97
Manitoba,Failure to comply or refusal (drugs),1,0,0,2,0
Manitoba,Impaired operation failure to provide blood sample,6,8,4,1,5
Manitoba,Failure to provide blood sample (drugs),0,2,0,0,0
Manitoba,Total other Criminal Code traffic violations,975,1095,1133,1149,1258
Manitoba,Dangerous operation causing death,9,4,5,5,7
Manitoba,Dangerous operation causing bodily harm,27,39,31,18,33
Manitoba,Dangerous operation of motor vehicle vessel or aircraft,270,295,276,246,297
Manitoba,Dangerous operation evading police causing death,0,0,1,0,0
Manitoba,Dangerous operation evading police causing bodily harm,2,1,1,1,1
Manitoba,Dangerous operation of motor vehicle evading police,76,45,82,69,66
Manitoba,Total fail to stop or remain ,332,401,392,470,501
Manitoba,Driving while prohibited,250,293,331,319,348
Manitoba,Other Criminal Code traffic violations,1,3,2,2,1
Manitoba,Causing death by criminal negligence while street racing,0,0,0,0,0
Manitoba,Causing bodily harm by criminal negligence while street racing,0,0,0,0,0
Manitoba,Dangerous operation causing death while street racing,0,0,0,0,0
Manitoba,Dangerous operation causing bodily harm while street racing,0,0,0,1,0
Manitoba,Dangerous operation of motor vehicle while street racing,8,14,12,18,4
Saskatchewan ,Total all violations,147534,148574,150451,150574,147031
Saskatchewan ,Total Criminal Code traffic violations,11638,9993,10016,10470,11563
Saskatchewan ,Total impaired driving ,6143,6299,6566,7192,7834
Saskatchewan ,Impaired operation causing death,24,12,14,14,22
Saskatchewan ,Impaired operation (drugs) causing death,1,0,0,0,0
Saskatchewan ,Impaired operation causing bodily harm,109,88,90,80,75
Saskatchewan ,Impaired operation (drugs) causing bodily harm,0,2,0,2,2
Saskatchewan ,Impaired operation of motor vehicle vessel or aircraft ,5837,5973,6227,6879,7507
Saskatchewan ,Impaired operation (drugs) vehicle vessel aircraft,27,88,112,105,112
Saskatchewan ,Impaired operation failure to provide breath sample,137,129,119,110,113
Saskatchewan ,Failure to comply or refusal (drugs),0,0,1,0,2
Saskatchewan ,Impaired operation failure to provide blood sample,8,6,3,2,1
Saskatchewan ,Failure to provide blood sample (drugs),0,1,0,0,0
Saskatchewan ,Total other Criminal Code traffic violations,5495,3694,3450,3278,3729
Saskatchewan ,Dangerous operation causing death,1,2,7,6,6
Saskatchewan ,Dangerous operation causing bodily harm,66,52,55,41,37
Saskatchewan ,Dangerous operation of motor vehicle vessel or aircraft,541,590,606,628,730
Saskatchewan ,Dangerous operation evading police causing death,0,0,0,0,0
Saskatchewan ,Dangerous operation evading police causing bodily harm,5,1,3,4,1
Saskatchewan ,Dangerous operation of motor vehicle evading police,226,205,214,226,235
Saskatchewan ,Total fail to stop or remain ,4070,2251,1960,1784,2121
Saskatchewan ,Driving while prohibited,575,574,597,576,580
Saskatchewan ,Other Criminal Code traffic violations,4,6,1,2,7
Saskatchewan ,Causing death by criminal negligence while street racing,1,0,0,0,0
Saskatchewan ,Causing bodily harm by criminal negligence while street racing,0,1,0,0,0
Saskatchewan ,Dangerous operation causing death while street racing,0,0,0,0,0
